Perangkat Daerah,Dokumen,Jenis rekomendasi,Paket,Jumlah,Satuan,Status,Pagu anggaran,Tanggal Pengajuan,Tanggal Pemeriksaan,Durasi Proses
SDK Tunas Daud Cakranegara,"[{""id"":4101,""rekomendasi_id"":1007,""jenis_dokumen_id"":1,""no_surat"":""026\/BOS\/SDK.TD\/XII\/2021"",""tanggal_surat"":""2021-12-27"",""file_surat"":""file_surat_permohonan\/SP_SDK Tunas Daud Cakranegara_1643179710_.pdf"",""barcode"":null,""created_at"":""2022-01-02T14:50:29.000000Z"",""updated_at"":""2022-01-26T14:48:30.000000Z""},{""id"":4154,""rekomendasi_id"":1007,""jenis_dokumen_id"":3,""no_surat"":""027.2\/6\/Diskominfo\/I\/2022"",""tanggal_surat"":""2022-01-28"",""file_surat"":""file_surat_rekomendasi\/SR_SDK_Tunas_Daud_Cakranegara_1007.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-sdk-tunas-daud-cakranegara-1007pdfqrcode.png"",""created_at"":""2022-01-28T09:37:54.000000Z"",""updated_at"":""2022-01-28T09:37:55.000000Z""},{""id"":4163,""rekomendasi_id"":1007,""jenis_dokumen_id"":5,""no_surat"":""038\/BOS\/SDK.TD\/XII\/2021"",""tanggal_surat"":""2021-12-31"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_SDK Tunas Daud Cakranegara_1643866599_.pdf"",""barcode"":null,""created_at"":""2022-02-03T13:36:40.000000Z"",""updated_at"":""2022-02-03T13:36:40.000000Z""},{""id"":4166,""rekomendasi_id"":1007,""jenis_dokumen_id"":7,""no_surat"":""027.2\/6\/Diskominfo\/I\/2022"",""tanggal_surat"":""2022-02-04"",""file_surat"":""file_surat_pemeriksaan\/SHP_SDK_Tunas_Daud_Cakranegara_1007.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-sdk-tunas-daud-cakranegara-1007pdfqrcode.png"",""created_at"":""2022-02-04T15:32:02.000000Z"",""updated_at"":""2022-02-04T15:32:02.000000Z""}]",Pengadaan Barang/Jasa,PC,1.0,Unit,Hasil pemeriksaan terbit,8250000,2022-01-02,2022-02-04,33
SDK Tunas Daud Cakranegara,"[{""id"":4102,""rekomendasi_id"":1008,""jenis_dokumen_id"":1,""no_surat"":""026\/BOS\/SDK.TD\/XII\/2021"",""tanggal_surat"":""2021-12-27"",""file_surat"":""file_surat_permohonan\/SP_SDK Tunas Daud Cakranegara_1643179474_.pdf"",""barcode"":null,""created_at"":""2022-01-02T14:56:16.000000Z"",""updated_at"":""2022-01-26T14:44:34.000000Z""},{""id"":4153,""rekomendasi_id"":1008,""jenis_dokumen_id"":3,""no_surat"":""027.2\/5\/Diskominfo\/I\/2022"",""tanggal_surat"":""2022-01-28"",""file_surat"":""file_surat_rekomendasi\/SR_SDK_Tunas_Daud_Cakranegara_1008.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-sdk-tunas-daud-cakranegara-1008pdfqrcode.png"",""created_at"":""2022-01-28T09:37:25.000000Z"",""updated_at"":""2022-01-28T09:37:25.000000Z""},{""id"":4162,""rekomendasi_id"":1008,""jenis_dokumen_id"":5,""no_surat"":""038\/BOS\/SDK.TD\/XII\/2021"",""tanggal_surat"":""2021-12-31"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_SDK Tunas Daud Cakranegara_1643866572_.pdf"",""barcode"":null,""created_at"":""2022-02-03T13:36:12.000000Z"",""updated_at"":""2022-02-03T13:36:12.000000Z""},{""id"":4165,""rekomendasi_id"":1008,""jenis_dokumen_id"":7,""no_surat"":""027.2\/5\/Diskominfo\/I\/2022"",""tanggal_surat"":""2022-02-04"",""file_surat"":""file_surat_pemeriksaan\/SHP_SDK_Tunas_Daud_Cakranegara_1008.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-sdk-tunas-daud-cakranegara-1008pdfqrcode.png"",""created_at"":""2022-02-04T15:31:55.000000Z"",""updated_at"":""2022-02-04T15:31:56.000000Z""}]",Pengadaan Barang/Jasa,Printer,1.0,Unit,Hasil pemeriksaan terbit,3000000,2022-01-02,2022-02-04,33
SDN 42 AMPENAN,"[{""id"":4123,""rekomendasi_id"":1009,""jenis_dokumen_id"":1,""no_surat"":""197\/A42.83\/IV\/XI\/2021"",""tanggal_surat"":""2021-11-10"",""file_surat"":""file_surat_permohonan\/SP_SDN 42 AMPENAN_1642037148_.pdf"",""barcode"":null,""created_at"":""2022-01-13T09:25:49.000000Z"",""updated_at"":""2022-01-13T09:25:49.000000Z""},{""id"":4131,""rekomendasi_id"":1009,""jenis_dokumen_id"":3,""no_surat"":""027.2\/2\/Diskominfo\/I\/2022"",""tanggal_surat"":""2022-01-18"",""file_surat"":""file_surat_rekomendasi\/SR_SDN_42_AMPENAN_1009.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-sdn-42-ampenan-1009pdfqrcode.png"",""created_at"":""2022-01-18T07:35:14.000000Z"",""updated_at"":""2022-01-18T07:35:15.000000Z""},{""id"":4403,""rekomendasi_id"":1009,""jenis_dokumen_id"":5,""no_surat"":""17\/A42.83\/IV\/IV\/2022"",""tanggal_surat"":""2022-04-06"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_SDN 42 AMPENAN_1649214563_.pdf"",""barcode"":null,""created_at"":""2022-04-06T11:09:23.000000Z"",""updated_at"":""2022-04-06T11:09:23.000000Z""},{""id"":4566,""rekomendasi_id"":1009,""jenis_dokumen_id"":7,""no_surat"":""027.2\/2\/Diskominfo\/I\/2022"",""tanggal_surat"":""2022-05-23"",""file_surat"":""file_surat_pemeriksaan\/SHP_SDN_42_AMPENAN_1009.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-sdn-42-ampenan-1009pdfqrcode.png"",""created_at"":""2022-05-23T11:13:28.000000Z"",""updated_at"":""2022-05-23T11:13:28.000000Z""}]",Pengadaan Barang/Jasa,Laptop,1.0,Unit,Hasil pemeriksaan terbit,7550000,2022-01-13,2022-05-23,130
SMPN 16 Mataram,"[{""id"":4124,""rekomendasi_id"":1010,""jenis_dokumen_id"":1,""no_surat"":""079\/917\/SMP 16\/2021"",""tanggal_surat"":""2021-04-21"",""file_surat"":""file_surat_permohonan\/SP_SMPN 16 Mataram_1643337635_.pdf"",""barcode"":null,""created_at"":""2022-01-13T09:29:18.000000Z"",""updated_at"":""2022-01-28T10:40:36.000000Z""},{""id"":4157,""rekomendasi_id"":1010,""jenis_dokumen_id"":3,""no_surat"":""027.2\/7\/Diskominfo\/I\/2022"",""tanggal_surat"":""2022-01-31"",""file_surat"":""file_surat_rekomendasi\/SR_SMPN_16_Mataram_1010.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-smpn-16-mataram-1010pdfqrcode.png"",""created_at"":""2022-01-31T08:02:06.000000Z"",""updated_at"":""2022-01-31T08:02:08.000000Z""},{""id"":4198,""rekomendasi_id"":1010,""jenis_dokumen_id"":5,""no_surat"":""027.2\/3\/Diskominfo\/I\/2022"",""tanggal_surat"":""2022-01-26"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_SMPN 16 Mataram_1646713469_.pdf"",""barcode"":null,""created_at"":""2022-03-08T12:24:29.000000Z"",""updated_at"":""2022-03-08T12:24:29.000000Z""},{""id"":4221,""rekomendasi_id"":1010,""jenis_dokumen_id"":7,""no_surat"":""027.2\/7\/Diskominfo\/I\/2022"",""tanggal_surat"":""2022-03-16"",""file_surat"":""file_surat_pemeriksaan\/SHP_SMPN_16_Mataram_1010.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-smpn-16-mataram-1010pdfqrcode.png"",""created_at"":""2022-03-16T10:21:28.000000Z"",""updated_at"":""2022-03-16T10:21:29.000000Z""}]",Pengadaan Barang/Jasa,Laptop,1.0,Unit,Hasil pemeriksaan terbit,19360000,2022-01-13,2022-03-16,62
SMPN 16 Mataram,"[{""id"":4125,""rekomendasi_id"":1011,""jenis_dokumen_id"":1,""no_surat"":""021\/917\/SMP16\/2021"",""tanggal_surat"":""2021-06-06"",""file_surat"":""file_surat_permohonan\/SP_SMPN 16 Mataram_1642638739_.pdf"",""barcode"":null,""created_at"":""2022-01-13T09:33:08.000000Z"",""updated_at"":""2022-01-20T08:32:19.000000Z""},{""id"":4149,""rekomendasi_id"":1011,""jenis_dokumen_id"":3,""no_surat"":""027.2\/3\/Diskominfo\/I\/2022"",""tanggal_surat"":""2022-01-26"",""file_surat"":""file_surat_rekomendasi\/SR_SMPN_16_Mataram_1011.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-smpn-16-mataram-1011pdfqrcode.png"",""created_at"":""2022-01-26T07:39:40.000000Z"",""updated_at"":""2022-01-26T07:39:43.000000Z""},{""id"":4197,""rekomendasi_id"":1011,""jenis_dokumen_id"":5,""no_surat"":""027.2\/7\/Diskominfo\/I\/2022"",""tanggal_surat"":""2022-01-31"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_SMPN 16 Mataram_1646713296_.pdf"",""barcode"":null,""created_at"":""2022-03-08T12:21:36.000000Z"",""updated_at"":""2022-03-08T12:21:36.000000Z""},{""id"":4220,""rekomendasi_id"":1011,""jenis_dokumen_id"":7,""no_surat"":""027.2\/3\/Diskominfo\/I\/2022"",""tanggal_surat"":""2022-03-16"",""file_surat"":""file_surat_pemeriksaan\/SHP_SMPN_16_Mataram_1011.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-smpn-16-mataram-1011pdfqrcode.png"",""created_at"":""2022-03-16T10:21:17.000000Z"",""updated_at"":""2022-03-16T10:21:19.000000Z""}]",Pengadaan Barang/Jasa,Laptop,1.0,Unit,Hasil pemeriksaan terbit,19360000,2022-01-13,2022-03-16,62
SMPN 13 Mataram,"[{""id"":4127,""rekomendasi_id"":1013,""jenis_dokumen_id"":1,""no_surat"":""422.1\/017\/SMPN.13\/I\/2022"",""tanggal_surat"":""2022-01-12"",""file_surat"":""file_surat_permohonan\/SP_SMPN 13 Mataram_1642038486_.pdf"",""barcode"":null,""created_at"":""2022-01-13T09:48:06.000000Z"",""updated_at"":""2022-01-13T09:48:06.000000Z""},{""id"":4130,""rekomendasi_id"":1013,""jenis_dokumen_id"":3,""no_surat"":""027.2\/1\/Diskominfo\/I\/2022"",""tanggal_surat"":""2022-01-18"",""file_surat"":""file_surat_rekomendasi\/SR_SMPN_13_Mataram_1013.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-smpn-13-mataram-1013pdfqrcode.png"",""created_at"":""2022-01-18T07:34:18.000000Z"",""updated_at"":""2022-01-18T07:34:22.000000Z""},{""id"":4132,""rekomendasi_id"":1013,""jenis_dokumen_id"":5,""no_surat"":""422.1\/017\/SMPN.13\/I\/2022"",""tanggal_surat"":""2022-01-18"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_SMPN 13 Mataram_1642475035_.pdf"",""barcode"":null,""created_at"":""2022-01-18T11:03:55.000000Z"",""updated_at"":""2022-01-18T11:03:55.000000Z""},{""id"":4144,""rekomendasi_id"":1013,""jenis_dokumen_id"":7,""no_surat"":""027.2\/1\/Diskominfo\/I\/2022"",""tanggal_surat"":""2022-01-20"",""file_surat"":""file_surat_pemeriksaan\/SHP_SMPN_13_Mataram_1013.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-smpn-13-mataram-1013pdfqrcode.png"",""created_at"":""2022-01-20T15:24:20.000000Z"",""updated_at"":""2022-01-20T15:24:20.000000Z""}]",Pengadaan Barang/Jasa,Laptop,1.0,Buah,Hasil pemeriksaan terbit,10538000,2022-01-13,2022-01-20,7
SDN 42 AMPENAN,"[{""id"":4128,""rekomendasi_id"":1014,""jenis_dokumen_id"":1,""no_surat"":""185\/A42.83\/IV\/IX\/2021"",""tanggal_surat"":""2021-09-15"",""file_surat"":""file_surat_permohonan\/SP_SDN 42 AMPENAN_1649213552_.pdf"",""barcode"":null,""created_at"":""2022-01-13T09:57:53.000000Z"",""updated_at"":""2022-04-06T10:52:32.000000Z""},{""id"":4435,""rekomendasi_id"":1014,""jenis_dokumen_id"":3,""no_surat"":""027.2\/113\/Diskominfo\/IV\/2022"",""tanggal_surat"":""2022-04-13"",""file_surat"":""file_surat_rekomendasi\/SR_SDN_42_AMPENAN_1014.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-sdn-42-ampenan-1014pdfqrcode.png"",""created_at"":""2022-04-13T07:47:38.000000Z"",""updated_at"":""2022-04-13T07:47:39.000000Z""},{""id"":4449,""rekomendasi_id"":1014,""jenis_dokumen_id"":5,""no_surat"":""17\/A42.83\/IV\/IV\/2022"",""tanggal_surat"":""2022-04-14"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_SDN 42 AMPENAN_1649900186_.pdf"",""barcode"":null,""created_at"":""2022-04-14T09:36:26.000000Z"",""updated_at"":""2022-04-14T09:36:26.000000Z""},{""id"":4569,""rekomendasi_id"":1014,""jenis_dokumen_id"":7,""no_surat"":""027.2\/113\/Diskominfo\/IV\/2022"",""tanggal_surat"":""2022-05-23"",""file_surat"":""file_surat_pemeriksaan\/SHP_SDN_42_AMPENAN_1014.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-sdn-42-ampenan-1014pdfqrcode.png"",""created_at"":""2022-05-23T11:13:51.000000Z"",""updated_at"":""2022-05-23T11:13:51.000000Z""}]",Pengadaan Barang/Jasa,Printer,1.0,Unit,Hasil pemeriksaan terbit,1900000,2022-01-13,2022-05-23,130
Dinas Perumahan dan Kawasan Permukiman,"[{""id"":4161,""rekomendasi_id"":1018,""jenis_dokumen_id"":1,""no_surat"":""980\/021\/PKP\/II\/2022"",""tanggal_surat"":""2022-02-03"",""file_surat"":""file_surat_permohonan\/SP_Dinas Perumahan dan Kawasan Permukiman_1643850246_.pdf"",""barcode"":null,""created_at"":""2022-02-03T09:04:06.000000Z"",""updated_at"":""2022-02-03T09:04:06.000000Z""},{""id"":4169,""rekomendasi_id"":1018,""jenis_dokumen_id"":3,""no_surat"":""027.2\/26\/Diskominfo\/II\/2022"",""tanggal_surat"":""2022-02-09"",""file_surat"":""file_surat_rekomendasi\/SR_Dinas_Perumahan_dan_Kawasan_Permukiman_1018.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-dinas-perumahan-dan-kawasan-permukiman-1018pdfqrcode.png"",""created_at"":""2022-02-09T08:42:21.000000Z"",""updated_at"":""2022-02-09T08:42:22.000000Z""},{""id"":4183,""rekomendasi_id"":1018,""jenis_dokumen_id"":5,""no_surat"":""981\/044\/PKP\/2022"",""tanggal_surat"":""2022-02-25"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_Dinas Perumahan dan Kawasan Permukiman_1646094420_.pdf"",""barcode"":null,""created_at"":""2022-03-01T08:27:00.000000Z"",""updated_at"":""2022-03-01T08:27:00.000000Z""},{""id"":4191,""rekomendasi_id"":1018,""jenis_dokumen_id"":7,""no_surat"":""027.2\/26\/Diskominfo\/II\/2022"",""tanggal_surat"":""2022-03-02"",""file_surat"":""file_surat_pemeriksaan\/SHP_Dinas_Perumahan_dan_Kawasan_Permukiman_1018.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-dinas-perumahan-dan-kawasan-permukiman-1018pdfqrcode.png"",""created_at"":""2022-03-02T15:16:43.000000Z"",""updated_at"":""2022-03-02T15:16:44.000000Z""}]",Pengadaan Barang/Jasa,Laptop,3.0,Unit,Hasil pemeriksaan terbit,33000000,2022-02-03,2022-03-02,27
Kecamatan Cakranegara,"[{""id"":4175,""rekomendasi_id"":1020,""jenis_dokumen_id"":1,""no_surat"":""52 \/Ktr-Ckr\/II\/2022"",""tanggal_surat"":""2022-02-17"",""file_surat"":""file_surat_permohonan\/SP_Kecamatan Cakranegara_1645083072_.pdf"",""barcode"":null,""created_at"":""2022-02-17T15:31:12.000000Z"",""updated_at"":""2022-02-17T15:31:12.000000Z""},{""id"":4176,""rekomendasi_id"":1020,""jenis_dokumen_id"":3,""no_surat"":""027.2\/56\/Diskominfo\/II\/2022"",""tanggal_surat"":""2022-02-17"",""file_surat"":""file_surat_rekomendasi\/SR_Kecamatan_Cakranegara_1020.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-kecamatan-cakranegara-1020pdfqrcode.png"",""created_at"":""2022-02-17T15:38:59.000000Z"",""updated_at"":""2022-02-17T15:39:00.000000Z""},{""id"":4284,""rekomendasi_id"":1020,""jenis_dokumen_id"":5,""no_surat"":""93\/KTR-CKR\/III\/2022"",""tanggal_surat"":""2022-03-21"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_Kecamatan Cakranegara_1647849660_.pdf"",""barcode"":null,""created_at"":""2022-03-21T16:01:00.000000Z"",""updated_at"":""2022-03-21T16:01:00.000000Z""},{""id"":4297,""rekomendasi_id"":1020,""jenis_dokumen_id"":7,""no_surat"":""027.2\/56\/Diskominfo\/II\/2022"",""tanggal_surat"":""2022-03-22"",""file_surat"":""file_surat_pemeriksaan\/SHP_Kecamatan_Cakranegara_1020.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-kecamatan-cakranegara-1020pdfqrcode.png"",""created_at"":""2022-03-22T12:42:10.000000Z"",""updated_at"":""2022-03-22T12:42:11.000000Z""}]",Pengadaan Barang/Jasa,Laptop,10.0,Unit,Hasil pemeriksaan terbit,148750000,2022-02-17,2022-03-22,33
SDN 31 Mataram,"[{""id"":4177,""rekomendasi_id"":1021,""jenis_dokumen_id"":1,""no_surat"":""036\/422\/SDN31MTR\/II\/2022"",""tanggal_surat"":""2022-02-17"",""file_surat"":""file_surat_permohonan\/SP_SDN 31 Mataram_1646093790_.pdf"",""barcode"":null,""created_at"":""2022-02-17T19:19:51.000000Z"",""updated_at"":""2022-03-01T08:16:31.000000Z""},{""id"":4189,""rekomendasi_id"":1021,""jenis_dokumen_id"":3,""no_surat"":""027.2\/40\/Diskominfo\/III\/2022"",""tanggal_surat"":""2022-03-02"",""file_surat"":""file_surat_rekomendasi\/SR_SDN_31_Mataram_1021.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httprekomendasimataramkotagoidstoragefile-surat-rekomendasisr-sdn-31-mataram-1021pdfqrcode.png"",""created_at"":""2022-03-02T08:28:48.000000Z"",""updated_at"":""2022-03-02T08:28:50.000000Z""},{""id"":5344,""rekomendasi_id"":1021,""jenis_dokumen_id"":5,""no_surat"":""097\/422\/SDN31MTR\/IX\/2022"",""tanggal_surat"":""2022-09-12"",""file_surat"":""file_surat_permohonan_pemeriksaan\/SPR_SDN 31 Mataram_1663210701_.pdf"",""barcode"":null,""created_at"":""2022-09-15T10:58:21.000000Z"",""updated_at"":""2022-09-15T10:58:21.000000Z""},{""id"":6607,""rekomendasi_id"":1021,""jenis_dokumen_id"":7,""no_surat"":""027.2\/40\/Diskominfo\/III\/2022"",""tanggal_surat"":""2022-12-13"",""file_surat"":""file_surat_pemeriksaan\/SHP_SDN_31_Mataram_1021.pdf"",""barcode"":""\/home\/rekomendasimtr\/rekomendasi\/storage\/app\/public\/barcode\/httpsrekomendasimataramkotagoidstoragefile-surat-pemeriksaanshp-sdn-31-mataram-1021pdfqrcode.png"",""created_at"":""2022-12-13T11:04:01.000000Z"",""updated_at"":""2022-12-13T11:04:01.000000Z""}]",Pengadaan Barang/Jasa,Printer,1.0,Unit,Hasil pemeriksaan terbit,3300000,2022-02-17,2022-12-13,299
